Code,Name,Geography,Area (sq km),Estimated Population mid-2022,2022 people per sq. km,Estimated Population mid-2011,2011 people per sq. km
K02000001,UNITED KINGDOM,Country,242494.5701,67596281,279,63285145,261
K03000001,GREAT BRITAIN,Country,228947.9162,65685738,287,61470827,268
K04000001,ENGLAND AND WALES,Country,151046.9855,60238038,399,56170927,372
E92000001,ENGLAND,Country,130310.4675,57106398,438,53107169,408
E12000001,NORTH EAST,Region,8580.7864,2683040,313,2596441,303
E06000047,County Durham,Unitary Authority,2225.861,528127,237,512994,230
E06000005,Darlington,Unitary Authority,197.4779,109469,554,105584,535
E06000001,Hartlepool,Unitary Authority,93.71700000000001,93861,1002,92088,983
E06000002,Middlesbrough,Unitary Authority,53.881800000000005,148285,2752,138368,2568
E06000057,Northumberland,Unitary Authority,5019.897800000001,324362,65,316278,63
E06000003,Redcar and Cleveland,Unitary Authority,245.06959999999998,137175,560,135164,552
E06000004,Stockton-on-Tees,Unitary Authority,204.9332,199966,976,191824,936
E11000007,Tyne and Wear (Met County),Metropolitan County,539.9481,1141795,2115,1104141,2045
E08000037,Gateshead,Metropolitan District,142.3392,197722,1389,200349,1408
E08000021,Newcastle upon Tyne,Metropolitan District,113.4515,307565,2711,279092,2460
E08000022,North Tyneside,Metropolitan District,82.3005,210487,2558,201206,2445
E08000023,South Tyneside,Metropolitan District,64.4205,148667,2308,148164,2300
E08000024,Sunderland,Metropolitan District,137.4364,277354,2018,275330,2003
E12000002,NORTH WEST,Region,14108.0061,7516113,533,7055961,500
E06000008,Blackburn with Darwen,Unitary Authority,137.0223,155762,1137,147657,1078
E06000009,Blackpool,Unitary Authority,34.8708,141574,4060,142080,4074
E06000049,Cheshire East,Unitary Authority,1166.3578,406527,349,370736,318
E06000050,Cheshire West and Chester,Unitary Authority,920.018,361694,393,329526,358
E06000063,Cumberland,Unitary Authority,3012.2075,275390,91,274546,91
E06000006,Halton,Unitary Authority,79.0842,128964,1631,125722,1590
E06000007,Warrington,Unitary Authority,180.628,211580,1171,202709,1122
E06000064,Westmorland and Furness,Unitary Authority,3755.7383999999997,227643,61,225271,60
E11000001,Greater Manchester (Met County),Metropolitan County,1275.9813000000001,2911744,2282,2685386,2105
E08000001,Bolton,Metropolitan District,139.7921,298903,2138,277296,1984
E08000002,Bury,Metropolitan District,99.46,194606,1957,185422,1864
E08000003,Manchester,Metropolitan District,115.6485,568996,4920,502902,4349
E08000004,Oldham,Metropolitan District,142.3448,243912,1714,225157,1582
E08000005,Rochdale,Metropolitan District,158.1283,226992,1435,211929,1340
E08000006,Salford,Metropolitan District,97.1974,278064,2861,234487,2412
E08000007,Stockport,Metropolitan District,126.0404,297107,2357,283253,2247
E08000008,Tameside,Metropolitan District,103.1542,232753,2256,219727,2130
E08000009,Trafford,Metropolitan District,106.04469999999999,236301,2228,227091,2141
E08000010,Wigan,Metropolitan District,188.1709,334110,1776,318122,1691
E10000017,Lancashire,County,2893.9028000000003,1253154,433,1171558,405
E07000117,Burnley,Non-metropolitan District,110.6839,95553,863,87032,786
E07000118,Chorley,Non-metropolitan District,202.7622,118624,585,107591,531
E07000119,Fylde,Non-metropolitan District,165.6975,83008,501,76098,459
E07000120,Hyndburn,Non-metropolitan District,73.00659999999999,83213,1140,80549,1103
E07000121,Lancaster,Non-metropolitan District,566.9313999999999,144446,255,137823,243
E07000122,Pendle,Non-metropolitan District,169.38,96110,567,89576,529
E07000123,Preston,Non-metropolitan District,142.2842,151582,1065,140054,984
E07000124,Ribble Valley,Non-metropolitan District,583.1764,63107,108,57292,98
E07000125,Rossendale,Non-metropolitan District,138.0411,71169,516,68053,493
E07000126,South Ribble,Non-metropolitan District,113.1417,112166,991,109181,965
E07000127,West Lancashire,Non-metropolitan District,346.6333,119367,344,110617,319
